,Fintech,S&P500,NASDAQ,EMCLOUD
2019-01-15,215.85%,26.78%,48.31%,220.80%
2019-01-16,215.35%,27.06%,48.53%,220.70%
2019-01-17,221.79%,28.03%,49.59%,225.49%
2019-01-18,230.94%,29.72%,51.12%,232.18%
2019-01-22,216.55%,27.88%,48.23%,226.22%
2019-01-23,220.22%,28.16%,48.35%,226.84%
2019-01-24,235.16%,28.34%,49.35%,229.28%
2019-01-25,243.03%,29.43%,51.28%,237.32%
2019-01-28,236.66%,28.41%,49.61%,234.74%
2019-01-29,214.55%,28.22%,48.40%,229.00%
2019-01-30,225.80%,30.22%,51.67%,237.11%
2019-01-31,224.99%,31.34%,53.75%,248.31%
2019-02-01,225.62%,31.46%,53.37%,253.76%
2019-02-04,230.08%,32.35%,55.14%,261.39%
2019-02-05,231.78%,32.97%,56.29%,264.22%
2019-02-06,232.72%,32.67%,55.73%,265.03%
2019-02-07,229.32%,31.43%,53.89%,261.34%
2019-02-08,235.42%,31.52%,54.10%,267.45%
2019-02-11,236.88%,31.61%,54.30%,267.17%
2019-02-12,243.16%,33.31%,56.56%,275.95%
2019-02-13,241.19%,33.71%,56.68%,273.72%
2019-02-14,243.48%,33.36%,56.82%,276.51%
2019-02-15,244.30%,34.81%,57.78%,277.54%
2019-02-19,247.83%,35.01%,58.08%,279.01%
2019-02-20,244.85%,35.25%,58.13%,277.27%
2019-02-21,240.72%,34.77%,57.51%,275.53%
2019-02-22,247.07%,35.64%,58.94%,280.65%
2019-02-25,251.31%,35.81%,59.51%,284.01%
2019-02-26,251.54%,35.70%,59.40%,283.07%
2019-02-27,261.64%,35.62%,59.51%,288.01%
2019-02-28,267.58%,35.24%,59.05%,284.67%
2019-03-01,259.40%,36.17%,60.37%,289.24%
2019-03-04,249.46%,35.65%,60.00%,278.50%
2019-03-05,253.18%,35.49%,59.97%,276.50%
2019-03-06,250.87%,34.61%,58.48%,272.41%
2019-03-07,247.84%,33.51%,56.70%,274.53%
2019-03-08,249.03%,33.23%,56.42%,274.94%
2019-03-11,259.17%,35.18%,59.59%,284.48%
2019-03-12,263.99%,35.58%,60.28%,285.70%
2019-03-13,269.94%,36.53%,61.39%,286.75%
2019-03-14,268.86%,36.41%,61.12%,291.90%
2019-03-15,267.18%,37.09%,62.34%,291.55%
2019-03-18,262.72%,37.59%,62.89%,292.55%
2019-03-19,264.72%,37.58%,63.09%,295.42%
2019-03-20,262.79%,37.17%,63.19%,295.58%
2019-03-21,273.73%,38.66%,65.52%,304.79%
2019-03-22,260.73%,36.03%,61.37%,287.50%
2019-03-25,260.63%,35.92%,61.26%,288.89%
2019-03-26,261.25%,36.89%,62.40%,293.11%
2019-03-27,256.51%,36.26%,61.39%,285.55%
2019-03-28,262.54%,36.74%,61.93%,288.47%
2019-03-29,265.97%,37.67%,63.20%,292.30%
2019-04-01,270.65%,39.26%,65.30%,293.06%
2019-04-02,265.84%,39.26%,65.72%,295.94%
2019-04-03,270.22%,39.56%,66.71%,297.14%
2019-04-04,259.54%,39.85%,66.63%,285.75%
2019-04-05,262.74%,40.50%,67.62%,286.93%
2019-04-08,265.53%,40.65%,67.94%,286.45%
2019-04-09,266.95%,39.79%,67.00%,287.48%
2019-04-10,269.46%,40.28%,68.16%,291.98%
2019-04-11,271.91%,40.28%,67.81%,294.25%
2019-04-12,274.93%,41.21%,68.58%,294.96%
2019-04-15,275.04%,41.12%,68.41%,295.57%
2019-04-16,271.00%,41.19%,68.92%,294.65%
2019-04-17,270.83%,40.87%,68.83%,287.50%
2019-04-18,268.42%,41.10%,68.88%,284.56%
2019-04-22,273.67%,41.24%,69.24%,292.84%
2019-04-23,273.20%,42.49%,71.47%,300.55%
2019-04-24,269.55%,42.18%,71.07%,300.41%
2019-04-25,273.51%,42.12%,71.42%,304.79%
2019-04-26,273.39%,42.79%,72.01%,309.97%
2019-04-29,279.42%,42.94%,72.33%,314.21%
2019-04-30,288.44%,43.08%,70.93%,315.74%
2019-05-01,289.75%,42.00%,69.97%,308.84%
2019-05-02,283.46%,41.70%,69.69%,308.96%
2019-05-03,298.93%,43.07%,72.38%,316.57%
2019-05-06,300.99%,42.43%,71.52%,316.53%
2019-05-07,290.16%,40.08%,68.15%,307.85%
2019-05-08,288.41%,39.85%,67.72%,309.09%
2019-05-09,287.54%,39.43%,67.03%,312.60%
2019-05-10,287.71%,39.95%,67.16%,315.70%
2019-05-13,273.08%,36.57%,61.46%,295.31%
2019-05-14,280.52%,37.67%,63.31%,305.96%
2019-05-15,291.53%,38.47%,65.16%,310.73%
2019-05-16,305.41%,39.70%,66.76%,321.61%
2019-05-17,298.41%,38.89%,65.04%,317.22%
2019-05-20,292.10%,37.95%,62.63%,309.83%
2019-05-21,297.49%,39.12%,64.39%,315.53%
2019-05-22,301.87%,38.73%,63.66%,317.42%
2019-05-23,291.80%,37.08%,61.07%,307.35%
2019-05-24,296.52%,37.26%,61.25%,310.76%
2019-05-28,304.55%,36.11%,60.63%,315.23%
2019-05-29,291.62%,35.17%,59.36%,306.25%
2019-05-30,296.05%,35.45%,59.79%,310.13%
2019-05-31,290.04%,33.67%,57.37%,303.63%
2019-06-03,278.31%,33.30%,54.83%,283.43%
2019-06-04,289.44%,36.15%,58.93%,296.08%
2019-06-05,306.71%,37.27%,59.95%,303.60%
2019-06-06,312.58%,38.11%,60.80%,308.67%
2019-06-07,325.36%,39.56%,63.47%,312.66%
2019-06-10,331.44%,40.21%,65.18%,316.43%
2019-06-11,330.51%,40.16%,65.17%,308.33%
2019-06-12,334.12%,39.87%,64.54%,311.28%
2019-06-13,336.58%,40.45%,65.48%,313.02%
2019-06-14,333.73%,40.22%,64.62%,310.60%
2019-06-17,336.83%,40.35%,65.64%,317.44%
2019-06-18,333.71%,41.71%,67.94%,320.71%
2019-06-19,353.41%,42.14%,68.65%,328.89%
2019-06-20,357.50%,43.48%,70.00%,333.73%
2019-06-21,351.64%,43.30%,69.59%,327.84%
2019-06-24,340.97%,43.05%,69.04%,318.44%
2019-06-25,316.49%,41.70%,66.48%,308.32%
2019-06-26,318.85%,41.52%,67.02%,307.21%
2019-06-27,328.49%,42.06%,68.24%,316.17%
2019-06-28,330.12%,42.88%,69.05%,319.13%
2019-07-01,336.03%,43.98%,70.84%,324.14%
2019-07-02,344.18%,44.40%,71.22%,327.77%
2019-07-03,346.78%,45.51%,72.51%,332.18%
2019-07-05,347.23%,45.24%,72.33%,333.25%
2019-07-08,349.48%,44.54%,70.99%,333.44%
2019-07-09,360.14%,44.72%,71.91%,340.47%
2019-07-10,358.82%,45.37%,73.19%,343.62%
2019-07-11,357.96%,45.70%,73.06%,345.44%
2019-07-12,360.86%,46.38%,74.07%,345.90%
2019-07-15,369.82%,46.40%,74.37%,346.00%
2019-07-16,360.62%,45.91%,73.62%,339.85%
2019-07-17,365.05%,44.95%,72.83%,343.59%
2019-07-18,370.98%,45.47%,73.29%,344.17%
2019-07-19,363.26%,44.57%,72.01%,339.25%
2019-07-22,367.12%,44.98%,73.23%,341.17%
2019-07-23,365.33%,45.97%,74.23%,337.41%
2019-07-24,370.99%,46.66%,75.71%,344.65%
2019-07-25,368.60%,45.89%,73.95%,342.77%
2019-07-26,373.63%,46.96%,75.89%,349.25%
2019-07-29,357.09%,46.73%,75.11%,337.26%
2019-07-30,353.55%,46.35%,74.69%,337.52%
2019-07-31,354.27%,44.76%,72.62%,328.34%
2019-08-01,371.94%,43.45%,71.26%,325.70%
2019-08-02,341.20%,42.41%,69.00%,320.78%
2019-08-05,321.39%,38.17%,63.13%,301.25%
2019-08-06,331.45%,39.97%,65.40%,303.22%
2019-08-07,340.30%,40.07%,66.02%,305.37%
2019-08-08,361.74%,42.70%,69.74%,319.68%
2019-08-09,369.28%,41.76%,68.05%,318.23%
2019-08-12,356.83%,40.01%,66.03%,310.96%
2019-08-13,362.19%,42.13%,69.26%,316.84%
2019-08-14,345.06%,37.97%,64.14%,302.56%
2019-08-15,345.20%,38.31%,63.99%,303.13%
2019-08-16,353.15%,40.30%,66.72%,309.87%
2019-08-19,356.36%,42.00%,68.98%,309.44%
2019-08-20,368.28%,40.88%,67.83%,310.05%
2019-08-21,383.84%,42.04%,69.34%,316.95%
2019-08-22,381.28%,41.97%,68.74%,317.38%
2019-08-23,370.01%,38.28%,63.68%,312.02%
2019-08-26,384.36%,39.80%,65.83%,315.62%
2019-08-27,392.12%,39.35%,65.26%,313.18%
2019-08-28,381.00%,40.27%,65.90%,307.34%
2019-08-29,380.18%,42.05%,68.36%,316.06%
2019-08-30,373.62%,42.14%,68.13%,312.34%
2019-09-03,369.58%,41.16%,66.26%,306.93%
2019-09-04,372.73%,42.69%,68.43%,311.78%
2019-09-05,382.03%,44.54%,71.38%,315.26%
2019-09-06,369.22%,44.67%,71.09%,307.77%
2019-09-09,347.59%,44.66%,70.76%,295.03%
2019-09-10,327.30%,44.71%,70.69%,293.44%
2019-09-11,334.32%,45.75%,72.50%,296.79%
2019-09-12,341.25%,46.17%,73.02%,298.94%
2019-09-13,327.18%,46.07%,72.65%,292.46%
2019-09-16,326.85%,45.61%,72.16%,296.50%
2019-09-17,319.86%,45.99%,72.84%,302.00%
2019-09-18,316.06%,46.04%,72.66%,300.30%
2019-09-19,315.15%,46.04%,72.78%,301.69%
2019-09-20,307.97%,45.32%,71.40%,302.28%
2019-09-23,302.95%,45.31%,71.29%,299.02%
2019-09-24,290.48%,44.09%,68.78%,287.84%
2019-09-25,307.05%,44.97%,70.55%,290.08%
2019-09-26,309.42%,44.62%,69.56%,290.63%
2019-09-27,302.00%,43.85%,67.64%,279.13%
2019-09-30,310.13%,44.58%,68.90%,283.61%
2019-10-01,310.41%,42.81%,66.99%,281.20%
2019-10-02,304.51%,40.25%,64.38%,276.13%
2019-10-03,320.60%,41.37%,66.22%,287.23%
2019-10-04,323.12%,43.38%,68.55%,293.74%
2019-10-07,320.46%,42.74%,67.99%,296.91%
2019-10-08,303.97%,40.51%,65.20%,284.56%
2019-10-09,308.87%,41.79%,66.88%,291.17%
2019-10-10,317.21%,42.70%,67.88%,288.87%
2019-10-11,320.80%,44.26%,70.12%,296.03%
2019-10-14,333.55%,44.06%,69.94%,297.57%
2019-10-15,341.41%,45.50%,72.06%,299.42%
2019-10-16,320.76%,45.21%,71.54%,288.06%
2019-10-17,327.29%,45.61%,72.23%,286.24%
2019-10-18,307.78%,45.04%,70.81%,273.81%
2019-10-21,313.45%,46.04%,72.36%,276.84%
2019-10-22,292.62%,45.51%,71.12%,268.28%
2019-10-23,288.88%,45.93%,71.45%,268.83%
2019-10-24,319.42%,46.21%,72.84%,283.17%
2019-10-25,317.58%,46.80%,74.05%,286.02%
2019-10-28,322.09%,47.62%,75.80%,288.70%
2019-10-29,311.58%,47.50%,74.76%,287.26%
2019-10-30,317.03%,47.98%,75.34%,296.07%
2019-10-31,308.53%,47.53%,75.09%,290.02%
2019-11-01,311.17%,48.96%,77.08%,294.81%
2019-11-04,302.48%,49.51%,78.06%,293.32%
2019-11-05,290.74%,49.33%,78.10%,292.58%
2019-11-06,290.26%,49.44%,77.59%,291.84%
2019-11-07,290.76%,49.85%,78.09%,290.74%
2019-11-08,296.70%,50.23%,78.95%,296.31%
2019-11-11,303.71%,49.93%,78.72%,300.43%
2019-11-12,301.20%,50.17%,79.18%,302.25%
2019-11-13,308.72%,50.28%,79.10%,305.22%
2019-11-14,311.88%,50.40%,79.03%,305.59%
2019-11-15,315.83%,51.56%,80.34%,312.79%
2019-11-18,323.60%,51.64%,80.53%,313.66%
2019-11-19,321.03%,51.55%,80.97%,317.96%
2019-11-20,324.78%,50.98%,80.04%,321.63%
2019-11-21,324.49%,50.74%,79.61%,320.64%
2019-11-22,322.94%,51.07%,79.89%,322.11%
2019-11-25,328.24%,52.20%,82.27%,327.82%
2019-11-26,344.55%,52.53%,82.60%,330.53%
2019-11-27,350.18%,53.17%,83.81%,333.05%
2019-11-29,345.23%,52.56%,82.97%,331.96%
2019-12-02,337.44%,51.24%,80.91%,319.90%
2019-12-03,351.59%,50.24%,79.91%,323.18%
2019-12-04,369.79%,51.19%,80.88%,320.47%
2019-12-05,362.17%,51.41%,80.97%,317.41%
2019-12-06,364.58%,52.80%,82.78%,317.73%
2019-12-09,367.56%,52.31%,82.05%,316.99%
2019-12-10,364.44%,52.15%,81.93%,312.73%
2019-12-11,368.62%,52.59%,82.73%,309.26%
2019-12-12,367.17%,53.90%,84.06%,305.70%
2019-12-13,376.96%,53.91%,84.43%,310.93%
2019-12-16,387.70%,55.01%,86.11%,314.43%
2019-12-17,380.93%,55.06%,86.30%,312.51%
2019-12-18,387.60%,54.99%,86.39%,315.35%
2019-12-19,383.86%,55.68%,87.65%,318.35%
2019-12-20,380.23%,56.45%,88.45%,320.13%
2019-12-23,379.12%,56.59%,88.88%,320.03%
2019-12-24,389.16%,56.56%,89.04%,320.09%
2019-12-26,398.12%,57.36%,90.50%,322.27%
2019-12-27,396.92%,57.37%,90.17%,319.91%
2019-12-30,382.91%,56.46%,88.89%,314.48%
2019-12-31,383.63%,56.92%,89.45%,316.91%
2020-01-02,396.84%,58.23%,91.98%,325.96%
2020-01-03,391.68%,57.12%,90.47%,325.43%
2020-01-06,400.17%,57.67%,91.54%,333.48%
2020-01-07,404.73%,57.23%,91.48%,333.97%
2020-01-08,413.34%,58.00%,92.76%,339.38%
2020-01-09,425.24%,59.05%,94.33%,344.27%
2020-01-10,426.43%,58.60%,93.81%,342.89%
2020-01-13,439.39%,59.70%,95.82%,349.30%
2020-01-14,436.50%,59.46%,95.34%,347.98%
2020-01-15,446.19%,59.76%,95.49%,351.46%
2020-01-16,448.24%,61.10%,97.57%,356.09%
2020-01-17,451.98%,61.72%,98.24%,354.71%
2020-01-21,459.11%,61.29%,97.86%,354.85%
2020-01-22,458.16%,61.34%,98.13%,354.49%
2020-01-23,463.70%,61.52%,98.53%,356.32%
2020-01-24,461.80%,60.06%,96.68%,354.62%
2020-01-27,448.94%,57.54%,92.97%,347.52%
2020-01-28,469.79%,59.13%,95.73%,355.79%
2020-01-29,475.02%,58.99%,95.84%,357.19%
2020-01-30,479.98%,59.49%,96.34%,363.02%
2020-01-31,466.52%,56.66%,93.22%,356.04%
2020-02-03,478.18%,57.80%,95.80%,363.61%
2020-02-04,497.06%,60.16%,99.91%,376.10%
2020-02-05,480.85%,61.96%,100.77%,364.41%
2020-02-06,479.43%,62.50%,102.11%,366.26%
2020-02-07,484.92%,61.63%,101.02%,368.21%
2020-02-10,500.22%,62.81%,103.30%,373.57%
2020-02-11,499.41%,63.08%,103.52%,372.79%
2020-02-12,539.89%,64.14%,105.36%,375.95%
2020-02-13,543.66%,63.87%,105.06%,378.63%
2020-02-14,543.66%,64.17%,105.47%,383.43%
2020-02-18,549.23%,63.69%,105.50%,386.61%
2020-02-19,559.85%,64.46%,107.29%,392.29%
2020-02-20,553.60%,63.84%,105.89%,387.29%
2020-02-21,535.18%,62.11%,102.21%,376.85%
2020-02-24,499.50%,56.68%,94.70%,364.20%
2020-02-25,468.02%,51.94%,89.31%,352.04%
2020-02-26,471.82%,51.36%,89.63%,351.56%
2020-02-27,444.39%,44.68%,80.88%,339.28%
2020-02-28,476.49%,43.49%,80.90%,345.21%
2020-03-02,496.91%,50.09%,89.02%,351.98%
2020-03-03,480.82%,45.87%,83.36%,338.93%
2020-03-04,518.37%,52.03%,90.41%,352.74%
2020-03-05,499.99%,46.87%,84.51%,345.61%
2020-03-06,470.07%,44.37%,81.07%,327.82%
2020-03-09,404.62%,33.40%,67.88%,292.39%
2020-03-10,441.50%,39.99%,76.19%,304.56%
2020-03-11,405.73%,33.15%,67.90%,281.82%
2020-03-12,346.94%,20.48%,52.06%,248.50%
2020-03-13,369.68%,31.67%,66.28%,267.05%
2020-03-16,278.70%,15.89%,45.79%,219.14%
2020-03-17,317.31%,22.84%,54.87%,243.32%
2020-03-18,294.05%,16.47%,47.59%,228.28%
2020-03-19,290.36%,17.02%,50.98%,249.38%
2020-03-20,297.53%,11.95%,45.26%,250.14%
2020-03-23,331.59%,8.67%,44.86%,257.55%
2020-03-24,396.21%,18.87%,56.63%,283.20%
2020-03-25,415.65%,20.24%,55.92%,280.87%
2020-03-26,417.90%,27.74%,64.64%,301.59%
2020-03-27,387.95%,23.44%,58.41%,291.21%
2020-03-30,400.89%,27.58%,64.15%,297.83%
2020-03-31,386.22%,25.53%,62.58%,287.74%
2020-04-01,347.02%,19.99%,55.42%,269.01%
2020-04-02,308.95%,22.73%,58.09%,263.84%
2020-04-03,318.88%,20.87%,55.68%,259.92%
2020-04-06,362.02%,29.37%,67.09%,284.34%
2020-04-07,347.18%,29.17%,66.54%,277.11%
2020-04-08,390.19%,33.57%,70.84%,297.20%
2020-04-09,395.88%,35.50%,72.16%,301.35%
2020-04-13,428.16%,34.13%,72.98%,306.53%
2020-04-14,483.40%,38.23%,79.81%,323.53%
2020-04-15,486.46%,35.19%,77.22%,324.57%
2020-04-16,518.01%,35.97%,80.16%,328.58%
2020-04-17,593.72%,39.62%,82.64%,340.30%
2020-04-20,645.15%,37.12%,80.76%,345.76%
2020-04-21,584.22%,32.91%,74.48%,325.74%
2020-04-22,637.48%,35.96%,79.38%,339.21%
2020-04-23,628.65%,35.89%,79.36%,339.26%
2020-04-24,656.07%,37.78%,82.31%,346.34%
2020-04-27,634.64%,39.81%,84.33%,356.41%
2020-04-28,639.29%,39.07%,81.75%,346.50%
2020-04-29,644.66%,42.77%,88.23%,361.78%
2020-04-30,634.67%,41.46%,87.70%,360.56%
2020-05-01,612.44%,37.49%,81.69%,346.88%
2020-05-04,669.28%,38.07%,83.92%,356.74%
2020-05-05,702.97%,39.32%,86.00%,369.16%
2020-05-06,765.14%,38.35%,86.96%,382.15%
2020-05-07,751.37%,39.94%,89.60%,413.59%
2020-05-08,734.21%,42.30%,92.59%,415.54%
2020-05-11,784.85%,42.32%,94.09%,426.80%
2020-05-12,779.16%,39.40%,90.09%,421.26%
2020-05-13,796.08%,36.97%,87.14%,414.47%
2020-05-14,800.15%,38.54%,88.84%,420.33%
2020-05-15,816.99%,39.09%,90.34%,433.29%
2020-05-18,770.44%,43.47%,94.99%,429.28%
2020-05-19,791.10%,41.97%,93.94%,435.17%
2020-05-20,823.07%,44.33%,97.97%,446.81%
2020-05-21,854.70%,43.21%,96.05%,446.43%
2020-05-22,882.04%,43.55%,96.89%,457.69%
2020-05-26,807.11%,45.31%,97.22%,449.40%
2020-05-27,782.52%,47.46%,98.74%,443.73%
2020-05-28,772.57%,47.15%,97.82%,448.56%
2020-05-29,786.67%,47.86%,100.38%,474.66%
2020-06-01,785.94%,48.42%,101.69%,493.34%
2020-06-02,816.67%,49.63%,102.88%,492.44%
2020-06-03,796.63%,51.68%,104.45%,495.20%
2020-06-04,760.78%,51.17%,103.03%,471.52%
2020-06-05,754.37%,55.13%,107.22%,468.77%
2020-06-08,757.68%,57.00%,109.56%,478.48%
2020-06-09,769.43%,55.77%,110.17%,472.66%
2020-06-10,773.40%,54.94%,111.58%,484.98%
2020-06-11,748.86%,45.81%,100.44%,457.64%
2020-06-12,769.81%,47.72%,102.46%,466.64%
2020-06-15,847.07%,48.94%,105.36%,485.21%
2020-06-16,850.11%,51.77%,108.95%,497.81%
2020-06-17,864.16%,51.22%,109.26%,502.92%
2020-06-18,918.29%,51.31%,109.94%,515.95%
2020-06-19,940.98%,50.46%,110.01%,513.70%
2020-06-22,974.90%,51.43%,112.34%,535.50%
2020-06-23,981.00%,52.09%,113.92%,534.13%
2020-06-24,965.03%,48.15%,109.23%,521.64%
2020-06-25,989.48%,49.78%,111.51%,537.46%
2020-06-26,984.29%,46.15%,106.02%,533.77%
2020-06-29,997.90%,48.29%,108.49%,521.04%
2020-06-30,1029.98%,50.58%,112.39%,535.79%
2020-07-01,1124.21%,51.34%,114.41%,556.18%
2020-07-02,1137.44%,52.02%,115.53%,557.29%
2020-07-06,1085.60%,54.44%,120.30%,560.01%
2020-07-07,1128.17%,52.77%,118.41%,561.56%
2020-07-08,1138.20%,53.96%,121.55%,585.59%
2020-07-09,1162.29%,53.09%,122.71%,594.89%
2020-07-10,1155.47%,54.70%,124.18%,582.23%
2020-07-13,1067.24%,53.25%,119.40%,538.14%
2020-07-14,1078.62%,55.30%,121.46%,540.84%
2020-07-15,1056.20%,56.71%,122.77%,540.96%
2020-07-16,1013.90%,56.18%,121.15%,528.84%
2020-07-17,1014.45%,56.62%,121.77%,538.04%
2020-07-20,1120.51%,57.94%,127.34%,572.28%
2020-07-21,1050.55%,58.21%,125.51%,562.57%
2020-07-22,1056.85%,59.12%,126.06%,562.41%
2020-07-23,1013.59%,57.15%,120.89%,546.43%
2020-07-24,1018.00%,56.18%,118.81%,536.30%
2020-07-27,1077.40%,57.34%,122.47%,550.44%
2020-07-28,1086.98%,56.32%,119.64%,546.21%
2020-07-29,1171.77%,58.26%,122.61%,569.54%
2020-07-30,1166.18%,57.67%,123.56%,575.87%
2020-07-31,1135.12%,58.88%,126.88%,583.17%
2020-08-03,1211.95%,60.02%,130.21%,604.02%
2020-08-04,1212.40%,60.60%,131.02%,604.53%
2020-08-05,1240.17%,61.63%,132.23%,606.37%
2020-08-06,1242.25%,62.67%,134.54%,588.40%
2020-08-07,1194.88%,62.77%,132.49%,555.66%
2020-08-10,1132.01%,63.22%,131.59%,537.49%
2020-08-11,1090.27%,61.92%,127.68%,527.66%
2020-08-12,1113.40%,64.18%,132.52%,534.68%
2020-08-13,1128.93%,63.85%,133.16%,551.59%
2020-08-14,1114.87%,63.82%,132.67%,546.09%
2020-08-17,1156.92%,64.26%,135.00%,559.78%
2020-08-18,1167.99%,64.64%,136.71%,567.72%
2020-08-19,1149.25%,63.92%,135.35%,566.51%
2020-08-20,1194.59%,64.43%,137.86%,587.39%
2020-08-21,1173.61%,65.00%,138.84%,577.37%
2020-08-24,1142.32%,66.66%,140.28%,572.96%
2020-08-25,1187.87%,67.26%,142.11%,583.59%
2020-08-26,1243.25%,68.96%,146.30%,614.63%
2020-08-27,1201.53%,69.24%,145.46%,615.52%
2020-08-28,1188.34%,70.38%,146.95%,622.87%
2020-08-31,1224.20%,70.01%,148.63%,629.80%
2020-09-01,1314.61%,71.29%,152.10%,667.85%
2020-09-02,1236.55%,73.92%,154.57%,662.21%
2020-09-03,1158.72%,67.81%,141.93%,599.38%
2020-09-04,1104.27%,66.45%,138.87%,572.02%
2020-09-08,1029.79%,61.83%,129.05%,554.77%
2020-09-09,1071.37%,65.09%,135.25%,569.82%
2020-09-10,1047.93%,62.18%,130.56%,562.97%
2020-09-11,1021.69%,62.27%,129.17%,549.46%
2020-09-14,1050.54%,64.34%,133.46%,561.18%
2020-09-15,1063.86%,65.20%,136.28%,566.92%
2020-09-16,1006.90%,64.43%,133.33%,560.75%
2020-09-17,981.34%,63.05%,130.37%,552.06%
2020-09-18,1011.23%,61.23%,127.90%,557.65%
2020-09-21,1051.97%,59.36%,127.59%,577.15%
2020-09-22,1086.78%,61.04%,131.49%,589.84%
2020-09-23,1038.95%,57.22%,124.51%,573.31%
2020-09-24,1032.59%,57.69%,125.34%,565.97%
2020-09-25,1098.24%,60.20%,130.44%,588.16%
2020-09-28,1108.60%,62.79%,134.74%,597.49%
2020-09-29,1181.39%,62.00%,134.06%,598.03%
2020-09-30,1175.77%,63.34%,135.80%,597.34%
2020-10-01,1219.78%,64.20%,139.16%,612.36%
2020-10-02,1188.11%,62.63%,133.85%,602.98%
2020-10-05,1247.09%,65.55%,139.28%,615.42%
2020-10-06,1210.55%,63.24%,135.53%,619.63%
2020-10-07,1253.21%,66.08%,139.96%,640.87%
2020-10-08,1251.25%,67.41%,141.15%,640.30%
2020-10-09,1284.62%,68.88%,144.51%,661.98%
2020-10-12,1271.40%,71.66%,150.76%,672.81%
2020-10-13,1286.04%,70.57%,150.50%,684.11%
2020-10-14,1255.40%,69.44%,148.49%,674.32%
2020-10-15,1257.58%,69.18%,147.33%,668.16%
2020-10-16,1242.33%,69.21%,146.44%,668.83%
2020-10-19,1248.16%,66.44%,142.37%,663.99%
2020-10-20,1234.31%,67.23%,143.17%,655.11%
2020-10-21,1177.44%,66.86%,142.50%,638.98%
2020-10-22,1162.01%,67.73%,142.95%,634.73%
2020-10-23,1184.35%,68.31%,143.84%,642.30%
2020-10-26,1190.75%,65.18%,139.84%,626.75%
2020-10-27,1241.93%,64.68%,141.37%,633.98%
2020-10-28,1179.05%,58.87%,132.36%,610.06%
2020-10-29,1131.41%,60.77%,136.18%,608.58%
2020-10-30,1049.21%,58.82%,130.39%,585.78%
2020-11-02,1037.30%,60.78%,131.37%,577.92%
2020-11-03,1067.77%,63.64%,135.65%,593.38%
2020-11-04,1141.79%,67.25%,144.74%,636.18%
2020-11-05,1194.43%,70.50%,151.07%,660.77%
2020-11-06,1253.67%,70.45%,151.16%,661.53%
2020-11-09,1072.90%,72.45%,147.33%,620.08%
2020-11-10,1024.84%,72.21%,143.96%,602.37%
2020-11-11,1111.06%,73.52%,148.87%,621.79%
2020-11-12,1079.70%,71.79%,147.24%,626.55%
2020-11-13,1070.18%,74.13%,149.77%,622.23%
2020-11-16,1063.93%,76.16%,151.77%,619.83%
2020-11-17,1076.84%,75.31%,151.25%,632.17%
2020-11-18,1092.70%,73.29%,149.19%,628.49%
2020-11-19,1142.76%,73.97%,151.36%,646.42%
2020-11-20,1175.73%,72.79%,150.31%,653.79%
2020-11-23,1191.41%,73.76%,150.86%,656.91%
2020-11-24,1171.01%,76.57%,154.15%,652.07%
2020-11-25,1240.18%,76.29%,155.37%,676.46%
2020-11-27,1251.30%,76.71%,157.72%,692.11%
2020-11-30,1308.10%,75.90%,157.57%,699.93%
2020-12-01,1265.47%,77.88%,160.87%,690.99%
2020-12-02,1276.04%,78.20%,160.75%,683.28%
2020-12-03,1264.63%,78.09%,161.34%,699.71%
2020-12-04,1257.54%,79.66%,163.18%,708.68%
2020-12-07,1296.87%,79.32%,164.35%,715.37%
2020-12-08,1315.67%,79.82%,165.68%,727.14%
2020-12-09,1237.60%,78.39%,160.53%,701.16%
2020-12-10,1287.59%,78.16%,161.94%,726.20%
2020-12-11,1261.04%,77.93%,161.35%,729.07%
2020-12-14,1258.28%,77.16%,162.67%,740.71%
2020-12-15,1282.87%,79.45%,165.94%,742.94%
2020-12-16,1374.89%,79.76%,167.27%,757.76%
2020-12-17,1399.69%,80.80%,169.52%,780.89%
2020-12-18,1399.78%,80.16%,169.33%,796.19%
2020-12-21,1421.47%,79.46%,169.05%,804.13%
2020-12-22,1515.25%,79.09%,170.43%,834.69%
2020-12-23,1409.64%,79.22%,169.66%,817.39%
2020-12-24,1433.55%,79.86%,170.37%,815.90%
2020-12-28,1348.28%,81.43%,172.37%,791.31%
2020-12-29,1356.15%,81.02%,171.33%,777.94%
2020-12-30,1363.08%,81.26%,171.75%,781.52%
2020-12-31,1322.99%,82.43%,172.13%,775.34%
2021-01-04,1295.37%,79.74%,168.12%,760.36%
2021-01-05,1339.83%,81.01%,170.67%,767.68%
2021-01-06,1306.98%,82.05%,169.02%,741.21%
2021-01-07,1399.55%,84.75%,175.92%,774.54%
2021-01-08,1434.99%,85.76%,178.76%,794.36%
2021-01-11,1395.63%,84.55%,175.26%,787.21%
2021-01-12,1412.30%,84.62%,176.02%,792.65%
2021-01-13,1426.81%,85.04%,177.21%,790.79%
2021-01-14,1416.90%,84.35%,176.87%,792.10%
2021-01-15,1401.38%,83.02%,174.46%,782.12%
2021-01-19,1404.89%,84.51%,178.65%,799.98%
2021-01-20,1430.37%,87.08%,184.15%,814.66%
2021-01-21,1408.50%,87.14%,185.70%,811.70%
2021-01-22,1415.69%,86.58%,185.96%,818.13%
2021-01-25,1409.58%,87.25%,187.92%,807.60%
2021-01-26,1347.51%,86.97%,187.71%,785.62%
