,Fintech,S&P500,NASDAQ,EMCLOUD
2015-11-03,4.14%,2.47%,8.64%,18.78%
2015-11-04,3.22%,2.11%,8.58%,21.65%
2015-11-05,3.28%,1.99%,8.27%,20.80%
2015-11-06,3.31%,1.96%,8.68%,23.08%
2015-11-09,3.10%,0.96%,7.59%,22.47%
2015-11-10,3.52%,1.11%,7.33%,22.10%
2015-11-11,2.23%,0.78%,6.99%,22.62%
2015-11-12,0.64%,-0.63%,5.68%,22.54%
2015-11-13,-1.83%,-1.74%,4.05%,19.37%
2015-11-16,0.07%,-0.28%,5.25%,20.40%
2015-11-17,0.93%,-0.41%,5.28%,21.51%
2015-11-18,1.81%,1.20%,7.16%,23.63%
2015-11-19,2.07%,1.09%,7.13%,25.29%
2015-11-20,2.46%,1.47%,7.79%,24.87%
2015-11-23,1.76%,1.34%,7.74%,24.30%
2015-11-24,0.74%,1.47%,7.74%,25.56%
2015-11-25,0.99%,1.46%,8.03%,26.63%
2015-11-27,0.46%,1.52%,8.27%,26.77%
2015-11-30,0.37%,1.04%,7.87%,26.32%
2015-12-01,0.33%,2.12%,8.87%,26.75%
2015-12-02,0.10%,1.00%,8.17%,26.73%
2015-12-03,-2.12%,-0.45%,6.37%,24.07%
2015-12-04,0.56%,1.59%,8.58%,26.52%
2015-12-07,-1.06%,0.88%,7.72%,24.89%
2015-12-08,-0.42%,0.23%,7.65%,25.89%
2015-12-09,-1.85%,-0.55%,6.06%,24.02%
2015-12-10,-0.78%,-0.32%,6.53%,23.77%
2015-12-11,-3.33%,-2.26%,4.17%,20.90%
2015-12-14,-2.79%,-1.80%,4.56%,20.57%
2015-12-15,0.06%,-0.75%,5.48%,22.19%
2015-12-16,-0.08%,0.69%,7.08%,24.42%
2015-12-17,-1.12%,-0.83%,5.63%,23.31%
2015-12-18,-2.85%,-2.59%,3.95%,20.95%
2015-12-21,-0.79%,-1.83%,4.92%,22.23%
2015-12-22,0.71%,-0.97%,5.60%,23.31%
2015-12-23,1.91%,0.26%,6.54%,24.28%
2015-12-24,1.92%,0.10%,6.60%,24.54%
2015-12-28,0.81%,-0.12%,6.44%,24.75%
2015-12-29,2.04%,0.95%,7.85%,26.04%
2015-12-30,0.77%,0.22%,6.96%,25.06%
2015-12-31,0.21%,-0.73%,5.73%,23.28%
2016-01-04,-3.13%,-2.25%,3.53%,20.11%
2016-01-05,-4.49%,-2.05%,3.28%,18.80%
2016-01-06,-5.74%,-3.33%,2.11%,17.26%
2016-01-07,-8.23%,-5.62%,-0.98%,13.90%
2016-01-08,-9.15%,-6.65%,-1.95%,11.97%
2016-01-11,-9.17%,-6.57%,-2.07%,11.83%
2016-01-12,-9.02%,-5.84%,-1.06%,13.03%
2016-01-13,-12.29%,-8.19%,-4.43%,8.04%
2016-01-14,-10.54%,-6.66%,-2.56%,10.01%
2016-01-15,-12.25%,-8.67%,-5.23%,7.72%
2016-01-19,-12.74%,-8.62%,-5.47%,5.18%
2016-01-20,-14.43%,-9.69%,-5.58%,5.36%
2016-01-21,-13.97%,-9.22%,-5.57%,5.86%
2016-01-22,-12.10%,-7.38%,-3.06%,9.14%
2016-01-25,-12.85%,-8.83%,-4.59%,5.42%
2016-01-26,-11.85%,-7.54%,-3.56%,5.41%
2016-01-27,-13.17%,-8.55%,-5.66%,2.09%
2016-01-28,-8.37%,-8.04%,-4.84%,-0.01%
2016-01-29,-4.06%,-5.76%,-2.58%,2.36%
2016-02-01,-2.20%,-5.81%,-2.44%,3.90%
2016-02-02,-3.06%,-7.57%,-4.63%,0.43%
2016-02-03,-2.41%,-7.11%,-4.89%,1.15%
2016-02-04,-2.05%,-6.97%,-4.78%,1.79%
2016-02-05,-7.24%,-8.69%,-7.87%,-9.58%
2016-02-08,-11.06%,-9.98%,-9.55%,-16.77%
2016-02-09,-13.27%,-10.04%,-9.87%,-19.20%
2016-02-10,-12.88%,-10.06%,-9.55%,-16.98%
2016-02-11,-11.60%,-11.16%,-9.91%,-15.27%
2016-02-12,-9.72%,-9.43%,-8.42%,-13.53%
2016-02-16,-6.33%,-7.93%,-6.34%,-10.45%
2016-02-17,-3.91%,-6.42%,-4.26%,-6.38%
2016-02-18,-4.16%,-6.85%,-5.25%,-7.71%
2016-02-19,-4.64%,-6.85%,-4.89%,-6.15%
2016-02-22,-3.61%,-5.51%,-3.49%,-4.10%
2016-02-23,-5.53%,-6.68%,-4.91%,-5.65%
2016-02-24,-3.16%,-6.27%,-4.08%,-3.59%
2016-02-25,-2.24%,-5.21%,-3.25%,-1.66%
2016-02-26,-1.00%,-5.38%,-3.07%,0.48%
2016-02-29,0.54%,-6.15%,-3.76%,0.44%
2016-03-01,3.44%,-3.91%,-0.98%,4.35%
2016-03-02,4.87%,-3.52%,-0.69%,5.20%
2016-03-03,5.26%,-3.18%,-0.60%,5.97%
2016-03-04,5.20%,-2.86%,-0.40%,6.42%
2016-03-07,5.83%,-2.78%,-0.59%,6.89%
2016-03-08,3.19%,-3.87%,-1.84%,4.94%
2016-03-09,4.60%,-3.38%,-1.30%,5.08%
2016-03-10,3.64%,-3.37%,-1.56%,3.02%
2016-03-11,5.95%,-1.78%,0.26%,4.88%
2016-03-14,6.19%,-1.91%,0.30%,4.87%
2016-03-15,6.10%,-2.09%,-0.16%,2.66%
2016-03-16,7.12%,-1.54%,0.59%,3.80%
2016-03-17,7.83%,-0.89%,0.82%,4.40%
2016-03-18,7.77%,-0.45%,1.26%,6.03%
2016-03-21,11.93%,-0.35%,1.54%,5.69%
2016-03-22,11.78%,-0.44%,1.81%,5.56%
2016-03-23,9.43%,-1.08%,0.69%,2.97%
2016-03-24,7.19%,-1.12%,0.79%,3.16%
2016-03-28,7.61%,-1.06%,0.65%,3.47%
2016-03-29,9.78%,-0.19%,2.33%,6.23%
2016-03-30,10.72%,0.25%,2.81%,6.82%
2016-03-31,10.65%,0.04%,2.83%,7.30%
2016-04-01,10.65%,0.67%,3.77%,7.87%
2016-04-04,9.84%,0.35%,3.29%,8.62%
2016-04-05,8.79%,-0.67%,2.28%,7.44%
2016-04-06,11.11%,0.38%,3.90%,9.38%
2016-04-07,9.06%,-0.83%,2.37%,7.65%
2016-04-08,9.80%,-0.55%,2.42%,7.44%
2016-04-11,9.73%,-0.82%,2.06%,5.82%
2016-04-12,9.92%,0.14%,2.87%,5.30%
2016-04-13,11.34%,1.14%,4.46%,8.55%
2016-04-14,11.06%,1.16%,4.43%,8.47%
2016-04-15,10.34%,1.06%,4.27%,9.00%
2016-04-18,12.70%,1.72%,4.73%,11.16%
2016-04-19,11.49%,2.04%,4.31%,10.98%
2016-04-20,12.37%,2.11%,4.48%,11.96%
2016-04-21,11.86%,1.58%,4.43%,14.58%
2016-04-22,12.31%,1.59%,3.59%,15.14%
2016-04-25,11.55%,1.40%,3.37%,14.31%
2016-04-26,12.23%,1.59%,3.21%,14.83%
2016-04-27,13.53%,1.76%,2.68%,15.58%
2016-04-28,14.19%,0.82%,1.46%,15.28%
2016-04-29,12.31%,0.31%,0.83%,14.96%
2016-05-02,11.03%,1.09%,1.72%,16.49%
2016-05-03,8.94%,0.22%,0.57%,13.85%
2016-05-04,8.17%,-0.38%,-0.22%,12.85%
2016-05-05,8.45%,-0.40%,-0.40%,11.80%
2016-05-06,6.80%,-0.09%,0.00%,10.72%
2016-05-09,6.61%,-0.01%,0.30%,11.42%
2016-05-10,7.86%,1.24%,1.56%,12.80%
2016-05-11,6.84%,0.27%,0.52%,12.32%
2016-05-12,5.98%,0.25%,0.03%,11.56%
2016-05-13,5.45%,-0.60%,-0.39%,11.35%
2016-05-16,5.20%,0.38%,0.83%,12.96%
2016-05-17,4.85%,-0.57%,-0.43%,11.35%
2016-05-18,4.98%,-0.55%,0.06%,12.79%
2016-05-19,2.59%,-0.92%,-0.50%,12.09%
2016-05-20,2.66%,-0.32%,0.71%,14.24%
2016-05-23,3.52%,-0.53%,0.63%,14.73%
2016-05-24,5.95%,0.83%,2.64%,17.02%
2016-05-25,5.86%,1.54%,3.35%,16.95%
2016-05-26,4.49%,1.52%,3.50%,17.11%
2016-05-27,4.74%,1.95%,4.17%,18.53%
2016-05-31,4.36%,1.85%,4.48%,19.64%
2016-06-01,5.83%,1.96%,4.56%,21.80%
2016-06-02,6.61%,2.25%,4.97%,22.67%
2016-06-03,5.95%,1.95%,4.36%,22.61%
2016-06-06,6.25%,2.45%,4.91%,23.62%
2016-06-07,5.37%,2.59%,4.77%,24.40%
2016-06-08,5.31%,2.92%,5.04%,25.31%
2016-06-09,4.21%,2.75%,4.70%,24.05%
2016-06-10,2.70%,1.81%,3.35%,21.58%
2016-06-13,1.87%,0.98%,2.37%,21.24%
2016-06-14,2.76%,0.80%,2.27%,21.89%
2016-06-15,2.39%,0.61%,2.09%,22.21%
2016-06-16,2.64%,0.93%,2.30%,21.71%
2016-06-17,2.64%,0.60%,1.36%,20.44%
2016-06-20,2.98%,1.18%,2.14%,22.69%
2016-06-21,2.16%,1.46%,2.27%,22.94%
2016-06-22,1.35%,1.29%,2.05%,21.14%
2016-06-23,3.46%,2.64%,3.67%,24.44%
2016-06-24,-1.11%,-1.04%,-0.59%,18.45%
2016-06-27,-4.25%,-2.83%,-2.99%,12.72%
2016-06-28,-1.26%,-1.11%,-0.93%,15.42%
2016-06-29,1.34%,0.58%,0.91%,19.00%
2016-06-30,2.75%,1.94%,2.25%,20.57%
2016-07-01,2.54%,2.14%,2.67%,21.06%
2016-07-05,1.59%,1.44%,1.83%,19.62%
