Date,ADYEY,AFRM,ALKT,AVLR,AVDX,BKKT,BILL,BL,BLND,SQ,BHG,BTRS,CLOV,COIN,COMP,DAVE,DLO,DOMA,DCT,ENV,EVER,EXFY,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,HOOD,ROOT,SEZNL,SHOP,SOFI,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2019-12-31 00:00:00,0.08,,,-0.21,,,,-0.11,,-0.01,,,,,,,,,,-0.02,-0.09,,0.35,,-0.33,0.11,,,,,,,,,0.01,,,,,,,,,0.24,,,0.15,-0.21,-0.16,,,,,-0.06,,0.29,,,0.04,,-0.02
2019-09-30 00:00:00,0.08,,,-0.24,,,,-0.13,,-0.02,,,,,,,,,,-0.03,-0.1,,0.33,,-0.34,0.1,,,,,,,,,-0.01,,,,,,,,,0.24,,,0.14,-0.19,-0.14,,,,,-0.06,,0.26,,,0.09,,-0.05
2019-06-30 00:00:00,0.08,,,-0.28,,,,-0.13,,-0.01,,,,,,,,,,0.01,-0.08,,0.33,,-0.35,0.11,,,,,,,,,-0.03,,,,,,,,,0.22,,,0.13,-0.15,-0.09,,,,,-0.06,,,,,0.22,,-0.06
2019-03-31 00:00:00,0.08,,,-0.31,,,,-0.11,,-0.01,,,,,,,,,,0.03,-0.05,,0.33,,,0.11,,,,,,,,,-0.07,,,,,,,,,0.22,,,0.14,-0.13,-0.07,,,,,-0.07,,,,,0.18,,-0.07
2018-12-31 00:00:00,,,,,,,,-0.16,,-0.02,,,,,,,,,,0.03,,,0.36,,,0.13,,,,,,,,,-0.05,,,,,,,,,0.22,,,0.14,-0.12,-0.06,,,,,-0.06,,,,,0.16,,-0.07
2018-09-30 00:00:00,,,,,,,,-0.17,,-0.03,,,,,,,,,,0.03,,,0.34,,,0.12,,,,,,,,,-0.04,,,,,,,,,,,,0.14,-0.12,-0.06,,,,,-0.06,,,,,0.16,,-0.06
2018-06-30 00:00:00,,,,,,,,-0.19,,-0.03,,,,,,,,,,-0.01,,,0.33,,,0.1,,,,,,,,,0.01,,,,,,,,,,,,0.14,-0.14,-0.04,,,,,-0.06,,,,,0.05,,-0.09
2018-03-31 00:00:00,,,,,,,,-0.28,,-0.03,,,,,,,,,,-0.08,,,0.26,,,0.09,,,,,,,,,0.12,,,,,,,,,,,,0.13,-0.15,,,,,,-0.08,,,,,0.02,,-0.13
2017-12-31 00:00:00,,,,,,,,-0.27,,-0.04,,,,,,,,,,-0.09,,,0.23,,,0.08,,,,,,,,,0.14,,,,,,,,,,,,0.13,-0.19,,,,,,-0.09,,,,,0.04,,-0.18
2017-09-30 00:00:00,,,,,,,,-0.28,,-0.05,,,,,,,,,,-0.1,,,0.24,,,0.07,,,,,,,,,0.16,,,,,,,,,,,,0.13,-0.21,,,,,,-0.09,,,,,0.05,,-0.23
2017-06-30 00:00:00,,,,,,,,,,-0.1,,,,,,,,,,-0.1,,,0.25,,,0.06,,,,,,,,,0.16,,,,,,,,,,,,0.13,-0.24,,,,,,-0.09,,,,,0.05,,-0.28
2017-03-31 00:00:00,,,,,,,,,,-0.13,,,,,,,,,,-0.05,,,0.24,,,0.05,,,,,,,,,0.16,,,,,,,,,,,,0.13,-0.27,,,,,,-0.1,,,,,0.05,,-0.33
2016-12-31 00:00:00,,,,,,,,,,-0.15,,,,,,,,,,-0.04,,,0.23,,,0.05,,,,,,,,,0.19,,,,,,,,,,,,0.14,-0.27,,,,,,-0.1,,,,,0.06,,-0.36
2016-09-30 00:00:00,,,,,,,,,,-0.16,,,,,,,,,,-0.02,,,0.22,,,0.04,,,,,,,,,0.2,,,,,,,,,,,,0.14,-0.25,,,,,,-0.1,,,,,0.05,,-0.4
2016-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,0.01,,,0.21,,,0.06,,,,,,,,,0.16,,,,,,,,,,,,0.13,-0.23,,,,,,-0.09,,,,,0.03,,-0.47
2016-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.03,,,0.25,,,0.06,,,,,,,,,0.16,,,,,,,,,,,,,-0.21,,,,,,-0.1,,,,,0.11,,-0.55
2015-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.03,,,0.27,,,0.08,,,,,,,,,0.15,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,-0.56
2015-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,0.04,,,0.29,,,0.1,,,,,,,,,0.08,,,,,,,,,,,,,-0.22,,,,,,,,,,,,,-0.56
2015-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,0.04,,,0.31,,,0.07,,,,,,,,,0.13,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,-0.52
