Date,ADYEY,AFRM,ALKT,AVDX,AVLR,BHG,BILL,BKKT,BL,BLND,BLSH,BTRS,BULL,CHYM,CLOV,COIN,COMP,CRCL,DAVE,DCT,DLO,DOMA,ENV,ETOR,EVER,EXFY,FCH.L,FIGR,CPAY,FLYW,GDOT,GEMI,HIPO,HOOD,INTA,KLAR,KPLT,LDI,LMND,LSPD,LU,MELI,MILE,ML,MQ,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,ROOT,SEZNL,SHOP,SLDE,SOFI,SQ,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2019-12-31 00:00:00,7.9,,,,14.4,,,,9.9,,,,,,,,,,,,,,4.3,,2.7,,0.3,,11.2,,,,,,,,,,,21.5,,14.4,,,,,,,,,,11.5,,,7.1,13.0,2.6,,,60.8,26.3,,,6.7,20.0,,,,,16.5
2019-09-30 00:00:00,11.4,,,,17.5,,,,11.8,,,,,,,,,,,,,,4.7,,1.7,,2.0,,11.2,,,,,,,,,,,26.9,,17.9,,,,,,,,,,10.6,,,8.1,14.1,2.7,,,,27.0,,,8.5,18.4,,,,,15.9
2019-06-30 00:00:00,11.7,,,,13.7,,,,10.6,,,,,,,,,,,,,,4.1,,0.9,,7.3,,10.3,,,,,,,,,,,21.7,,16.8,,,,,,,,,,8.6,,,7.4,12.5,3.1,,,,19.6,,,9.5,28.7,,,,,16.4
2019-03-31 00:00:00,10.3,,,,7.7,,,,9.7,,,,,,,,,,,,,,3.2,,0.4,,9.6,,8.3,,,,,,,,,,,,,8.3,,,,,,,,,,6.1,,,6.1,9.0,2.1,,,,14.4,,,7.7,17.8,,,,,14.3
2018-12-31 00:00:00,15.6,,,,9.1,,,,14.4,,,,,,,,,,,,,,4.1,,3.2,,12.3,,10.2,,,,,,,,,,,,,10.0,,,,,,,,,,9.8,,,7.0,11.6,3.4,,,,18.7,,,14.9,,,,,,17.7
2018-09-30 00:00:00,11.9,,,,17.5,,,,11.6,,,,,,,,,,,,,,4.0,,3.8,,,,9.7,,,,,,,,,,,,,9.1,,,,,,,,,,9.5,,,6.9,11.3,4.4,,,,18.3,,,10.0,,,,,,16.1
2018-06-30 00:00:00,,,,,,,,,11.2,,,,,,,,,,,,,,4.0,,,,,,9.7,,,,,,,,,,,,,11.1,,,,,,,,,,15.9,,,6.6,9.4,4.5,,,,18.1,,,8.6,,,,,,14.2
2018-03-31 00:00:00,,,,,,,,,10.0,,,,,,,,,,,,,,3.7,,,,,,9.7,,,,,,,,,,,,,11.2,,,,,,,,,,,,,6.8,7.8,6.9,,,,15.8,,,6.3,,,,,,12.1
2017-12-31 00:00:00,,,,,,,,,11.3,,,,,,,,,,,,,,3.9,,,,,,8.5,,,,,,,,,,,,,10.4,,,,,,,,,,,,,6.2,9.5,8.9,,,,20.8,,,5.5,,,,,,14.1
2017-09-30 00:00:00,,,,,,,,,12.8,,,,,,,,,,,,,,3.3,,,,,,8.5,,,,,,,,,,,,,11.3,,,,,,,,,,,,,5.4,8.9,,,,,18.2,,,4.6,,,,,,11.9
2017-06-30 00:00:00,,,,,,,,,11.5,,,,,,,,,,,,,,2.8,,,,,,9.4,,,,,,,,,,,,,10.9,,,,,,,,,,,,,4.3,8.7,,,,,14.8,,,3.4,,,,,,9.8
2017-03-31 00:00:00,,,,,,,,,13.0,,,,,,,,,,,,,,3.2,,,,,,9.5,,,,,,,,,,,,,8.8,,,,,,,,,,,,,4.0,7.7,,,,,10.4,,,2.6,,,,,,9.1
2016-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,10.7,,,,,,,,,,,,,11.4,,,,,,,,,,,,,4.3,8.1,,,,,12.6,,,2.3,,,,,,12.6
2016-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,9.2,,,,,,,,,,,,,9.3,,,,,,,,,,,,,4.1,8.4,,,,,10.0,,,1.9,,,,,,11.8
2016-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,9.6,,,,,,,,,,,,,7.9,,,,,,,,,,,,,4.7,7.6,,,,,10.4,,,3.7,,,,,,11.4
2016-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,9.6,,,,,,,,,,,,,7.9,,,,,,,,,,,,,4.5,9.0,,,,,10.5,,,4.1,,,,,,15.7
2015-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,10.5,,,,,,,,,,,,,6.5,,,,,,,,,,,,,3.9,8.9,,,,,18.4,,,,,,,,,13.0
2015-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,12.8,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,10.8,,,,,21.0,,,,,,,,,15.6
2015-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,14.1,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,35.5
