Date,MELI,GDOT,ENV,FLT,XROLF,QTWO,VIRT,SHOP,PYPL,SQ,BL,RDFN,PAGS,ADYEY,AVLR,EVER,FCH.L,STNE,SEZNL,BILL,LMND,NCNO,DCT,LSPD,ROOT,LU,UPST,OPEN,CLOV,AFRM,BTRS,MILE,LDI,OSCR,OLO,COMP,ALKT,COIN,FLYW,PAY,SOFI,DLO,MQ,KPLT,BHG,PAYO,INTA,WPLCF,BLND,DOMA,HOOD,HIPO,TOST,ML,RELY,AVDX,BKKT,NRDS,EXFY,NU,DAVE,BULL,ETOR,CHYM,CRCL,BLSH,KLAR,FIGR,GEMI,SLDE
2015-02-09,6076392467.736557,788162862.2351527,,10768148978.883934,1726262750.4588418,1082022867.845349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,6209928813.175651,789199918.6328305,,10736568675.644814,1724655820.0984473,1082591455.794821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,6185256700.161356,784014636.6444414,,10776227661.107895,1724538355.4025471,1080885691.9464052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,6383625767.299065,788162862.2351527,,10959099649.632114,1739361725.233059,1084865807.5927095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,6289277417.53125,805792820.9956758,,11043558600.155348,1756935832.706337,1178682819.255601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,6379271002.50197,813052215.7794206,,11223492886.052671,1785072385.771432,1160488004.8724947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,6416039684.397084,812015159.3817428,,11242587953.127491,1925329700.7069588,1165605296.4177434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,6313954418.048121,822904251.55736,,11319702647.083487,2123033993.7510295,1162762356.670383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,6334271766.265322,822904251.55736,,11490089399.443401,2173435721.1107163,1147979069.9841094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,6365238982.60022,819793082.3643266,,11431335346.9055,2144759012.6447992,1155939301.2767181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24,6410233331.3342905,819274554.1654878,,11527545107.936314,2008856622.5332162,1154802125.377774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,6493936700.486985,826015420.7503936,,11526076256.622866,2585499695.8832164,1174702703.6092966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,6338626531.062414,827052477.1480714,,11413709131.144129,2716813423.0149117,1195171869.7902908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,6336691080.041485,804237236.3991591,,11268292851.112823,2699314506.8181148,1126372727.9041705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,6449426214.508147,821348666.9608433,,11318968221.426764,2653380284.5944734,1176408467.457713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,6478453092.319535,810459574.7852261,,11366705889.11381,2692854437.1695514,1165036708.4682713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,6352658550.964166,821867195.1596823,,11171348664.425287,2635440879.915749,1176408467.457713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,6386284568.701557,886683220.0145469,,11414443556.800852,2648588167.6126657,1183800110.8008497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,6251057147.370438,852978887.0900172,,11258010891.91869,2642391104.3625016,1164468120.5187993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,6047849452.680401,847275076.9027891,,11175020792.708902,2527203422.519034,1157076477.1756625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,5995108412.360027,829126589.943427,,10874640699.108881,2558762680.2067943,1173565527.7103524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,6120902953.715395,832756287.3352995,,10946614413.467812,2548463111.4325123,1179251407.2050729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,6187676013.93752,843126851.3120779,,11014915999.543121,2619919512.6368775,1215072448.0218136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,6082198820.79935,847793605.1016282,,10884922658.303015,2769856223.7090855,1214503860.0723412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,6148966993.518897,855571528.0842118,,11028135661.36415,2704618998.7628994,1203700689.0323722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,6176547170.567166,850386246.0958226,,11019322553.483465,2608171062.636165,1219621151.6175902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
